episode,mean,std
episode 0,85.85,90.01068650005135
episode 1,147.7,120.30229467995677
episode 2,243.8,173.4618417010375
episode 3,306.45,215.9474777761823
episode 4,382.35,228.01829912715803
episode 5,454.4,289.3648943898744
episode 6,519.55,293.87187953076995
episode 7,587.05,336.23370240292536
episode 8,657.45,347.00545650191907
episode 9,728.1,421.6669800983511
cumulative sinks,4112.7,2462.0905772384403
area,3705.725,2217.2795533633457
