episode,mean,std
episode 0,29.85,33.07610840725403
episode 1,66.05,63.819214232573856
episode 2,101.85,93.97551472815167
episode 3,133.2,124.95835095616546
episode 4,167.3,157.2336846192551
episode 5,201.85,191.17648914027063
episode 6,231.3,219.0258576419448
episode 7,258.3,248.85106516062766
episode 8,286.45,281.71999443269533
episode 9,316.95,310.63135623063584
cumulative sinks,1793.1,1716.440898456669
area,1619.7,1546.6381997909632
