episode,mean,std
episode 0,2.85,2.539685019840059
episode 1,6.35,7.862469144780892
episode 2,10.6,12.089142584197303
episode 3,15.2,14.763397127248258
episode 4,17.45,16.262565991613343
episode 5,21.7,19.15064929502529
episode 6,25.8,20.80131574785848
episode 7,28.4,21.94826452796379
episode 8,33.6,27.05433130027913
episode 9,37.65,31.233037501641547
cumulative sinks,199.6,162.83391603264448
area,179.35,146.89318532436022
