episode,mean,std
episode 0,14.35,16.21329863511984
episode 1,32.15,31.599925049877804
episode 2,47.35,49.7639427698409
episode 3,61.4,53.17538013622073
episode 4,73.7,59.657884289461165
episode 5,86.05,65.80471507662493
episode 6,96.4,64.61497300813569
episode 7,105.45,68.38626747342897
episode 8,121.65,76.11367883148966
episode 9,130.75,79.72906423764502
cumulative sinks,769.25,538.4566517273918
area,696.7,495.60771838856164
