episode,mean,std
episode 0,4.0,5.4192638847570045
episode 1,10.55,12.999898785031085
episode 2,16.05,19.861295341230363
episode 3,20.85,24.430944571006236
episode 4,26.9,31.213863316768307
episode 5,31.85,35.04324396183123
episode 6,36.25,39.2627786774406
episode 7,41.35,39.713811729740364
episode 8,48.55,47.47240195490872
episode 9,54.6,49.473437849330615
cumulative sinks,290.95,298.26841938093276
area,261.65,272.073089057837
