episode,mean,std
episode 0,1.4,1.187655806953123
episode 1,2.9,2.2454632624823536
episode 2,4.4,3.2346804934547775
episode 3,6.05,4.593760069806364
episode 4,7.35,5.470254492299815
episode 5,8.7,6.3170612754582915
episode 6,9.95,7.2436905394680515
episode 7,11.45,8.375873874282894
episode 8,12.55,9.046517212950546
episode 9,13.75,9.721787793134391
cumulative sinks,78.5,56.88076170931239
area,70.925,51.49457687337979
