episode,mean,std
episode 0,18.6,17.282178225285328
episode 1,33.4,29.633551397378152
episode 2,49.85,38.6975791436486
episode 3,67.9,44.737715161759624
episode 4,81.6,53.574738744850144
episode 5,90.85,52.02861055024893
episode 6,99.45,56.615485142271254
episode 7,115.3,60.28188171546982
episode 8,129.3,67.43659790382449
episode 9,140.4,68.360807484991
cumulative sinks,826.65,470.0223146998337
area,747.15,430.23515907613034
