app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,1/172,2/172,3/172,5/172,6/172,7/172,8/172,9/172,10/172,52,46.5
com.radioplayer.mobile,1/79,2/79,3/79,4/79,4/79,4/79,5/79,6/79,6/79,9/79,44,39.0
de.komoot.android,1/250,32/250,61/250,89/250,120/250,151/250,179/250,208/250,237/250,266/250,1344,1210.5
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,110,99.0
com.pallo.passiontimerscoped,9/40,18/40,27/40,36/40,45/40,54/40,63/40,72/40,81/40,90/40,495,445.5
org.iggymedia.periodtracker,7/221,12/221,19/221,26/221,33/221,38/221,43/221,50/221,57/221,58/221,343,310.5
com.google.android.wearable.app,0/107,2/107,3/107,4/107,6/107,7/107,7/107,9/107,9/107,11/107,58,52.5
au.com.auspost.android,1/41,2/41,2/41,3/41,4/41,4/41,5/41,6/41,6/41,7/41,40,36.0
com.calm.android,3/29,4/29,7/29,12/29,17/29,22/29,25/29,28/29,31/29,34/29,183,164.5
com.outdooractive.Outdooractive,0/45,2/45,2/45,2/45,2/45,4/45,4/45,4/45,4/45,4/45,28,26.0
