app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,1/172,2/172,3/172,4/172,4/172,4/172,5/172,5/172,6/172,35,31.5
com.radioplayer.mobile,1/79,3/79,4/79,5/79,6/79,8/79,9/79,12/79,12/79,13/79,73,66.0
de.komoot.android,31/250,59/250,85/250,111/250,137/250,163/250,189/250,215/250,244/250,272/250,1506,1354.5
com.funnmedia.waterminder,2/22,4/22,6/22,9/22,11/22,13/22,15/22,17/22,19/22,22/22,118,106.0
com.pallo.passiontimerscoped,5/40,10/40,15/40,20/40,25/40,30/40,35/40,40/40,45/40,50/40,275,247.5
org.iggymedia.periodtracker,5/221,12/221,23/221,32/221,43/221,50/221,59/221,66/221,71/221,78/221,439,397.5
com.google.android.wearable.app,5/107,8/107,8/107,13/107,16/107,20/107,20/107,24/107,26/107,30/107,170,152.5
au.com.auspost.android,1/41,3/41,4/41,5/41,6/41,7/41,8/41,9/41,10/41,11/41,64,58.0
com.calm.android,1/29,2/29,3/29,4/29,5/29,6/29,7/29,8/29,9/29,10/29,55,49.5
com.outdooractive.Outdooractive,6/45,12/45,18/45,31/45,41/45,48/45,53/45,63/45,71/45,76/45,419,378.0
