app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,2/172,3/172,4/172,5/172,6/172,7/172,7/172,9/172,10/172,54,48.5
com.radioplayer.mobile,0/79,2/79,2/79,3/79,4/79,5/79,5/79,8/79,9/79,11/79,49,43.5
de.komoot.android,26/250,52/250,78/250,104/250,104/250,130/250,156/250,182/250,208/250,234/250,1274,1144.0
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,12/22,15/22,18/22,20/22,22/22,117,105.0
com.pallo.passiontimerscoped,3/40,6/40,9/40,12/40,15/40,18/40,18/40,21/40,24/40,27/40,153,138.0
org.iggymedia.periodtracker,3/221,6/221,10/221,13/221,16/221,19/221,22/221,27/221,30/221,33/221,179,161.0
com.google.android.wearable.app,4/107,4/107,4/107,7/107,10/107,14/107,16/107,20/107,21/107,22/107,122,109.0
au.com.auspost.android,2/41,3/41,4/41,5/41,6/41,8/41,9/41,10/41,11/41,12/41,70,63.0
com.calm.android,4/29,7/29,7/29,7/29,7/29,8/29,9/29,10/29,10/29,11/29,80,72.5
com.outdooractive.Outdooractive,13/45,27/45,39/45,49/45,66/45,76/45,78/45,78/45,97/45,104/45,627,568.5
