app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,2/172,3/172,4/172,5/172,6/172,7/172,9/172,12/172,13/172,62,55.0
com.radioplayer.mobile,2/79,3/79,4/79,5/79,6/79,9/79,10/79,11/79,14/79,17/79,81,71.5
de.komoot.android,27/250,56/250,83/250,110/250,137/250,164/250,193/250,220/250,247/250,276/250,1513,1361.5
com.funnmedia.waterminder,2/22,4/22,6/22,9/22,11/22,13/22,16/22,19/22,21/22,24/22,125,112.0
com.pallo.passiontimerscoped,3/40,6/40,9/40,12/40,15/40,18/40,21/40,24/40,27/40,30/40,165,148.5
org.iggymedia.periodtracker,3/221,7/221,10/221,14/221,18/221,23/221,29/221,32/221,41/221,48/221,225,199.5
com.google.android.wearable.app,5/107,10/107,14/107,17/107,21/107,25/107,29/107,34/107,38/107,44/107,237,212.5
au.com.auspost.android,0/41,0/41,0/41,0/41,0/41,0/41,1/41,1/41,1/41,1/41,4,3.5
com.calm.android,0/29,0/29,0/29,0/29,0/29,2/29,4/29,6/29,8/29,10/29,30,25.0
com.outdooractive.Outdooractive,1/45,14/45,27/45,32/45,39/45,55/45,73/45,81/45,92/45,102/45,516,464.5
