app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,2/172,2/172,3/172,4/172,4/172,5/172,6/172,7/172,8/172,42,37.5
com.radioplayer.mobile,1/79,3/79,4/79,5/79,6/79,8/79,9/79,12/79,12/79,13/79,73,66.0
de.komoot.android,30/250,58/250,90/250,120/250,150/250,180/250,212/250,244/250,274/250,306/250,1664,1496.0
com.funnmedia.waterminder,3/22,5/22,8/22,11/22,14/22,17/22,20/22,23/22,25/22,28/22,154,138.5
com.pallo.passiontimerscoped,2/40,4/40,6/40,8/40,10/40,12/40,14/40,16/40,18/40,20/40,110,99.0
org.iggymedia.periodtracker,8/221,17/221,25/221,35/221,41/221,47/221,47/221,51/221,56/221,63/221,390,354.5
com.google.android.wearable.app,2/107,5/107,7/107,10/107,10/107,13/107,17/107,22/107,24/107,29/107,139,123.5
au.com.auspost.android,1/41,2/41,3/41,4/41,5/41,6/41,7/41,8/41,9/41,10/41,55,49.5
com.calm.android,1/29,2/29,3/29,4/29,5/29,8/29,11/29,13/29,15/29,15/29,77,69.0
com.outdooractive.Outdooractive,0/45,0/45,9/45,14/45,19/45,19/45,19/45,19/45,19/45,26/45,144,131.0
