app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,3/172,6/172,8/172,10/172,12/172,14/172,15/172,17/172,19/172,21/172,125,113.0
com.radioplayer.mobile,1/79,2/79,4/79,7/79,9/79,12/79,14/79,15/79,16/79,17/79,97,88.0
de.komoot.android,1/250,1/250,28/250,54/250,82/250,109/250,135/250,162/250,189/250,215/250,976,868.0
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,21/22,111,99.5
com.pallo.passiontimerscoped,2/40,4/40,6/40,10/40,14/40,18/40,22/40,26/40,30/40,34/40,166,148.0
org.iggymedia.periodtracker,4/221,12/221,19/221,25/221,36/221,40/221,45/221,51/221,55/221,59/221,346,314.5
com.google.android.wearable.app,2/107,8/107,11/107,14/107,18/107,23/107,26/107,29/107,34/107,39/107,204,183.5
au.com.auspost.android,0/41,1/41,1/41,3/41,3/41,3/41,5/41,7/41,7/41,8/41,38,34.0
com.calm.android,0/29,0/29,2/29,2/29,2/29,2/29,4/29,4/29,4/29,4/29,24,22.0
com.outdooractive.Outdooractive,0/45,0/45,9/45,14/45,19/45,19/45,19/45,19/45,19/45,26/45,144,131.0
