app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0/172,1/172,2/172,2/172,3/172,5/172,6/172,7/172,8/172,9/172,43,38.5
com.radioplayer.mobile,1/79,2/79,5/79,6/79,6/79,7/79,8/79,9/79,10/79,12/79,66,59.5
de.komoot.android,27/250,53/250,82/250,113/250,145/250,175/250,205/250,235/250,265/250,296/250,1596,1434.5
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,19/22,21/22,112,100.5
com.pallo.passiontimerscoped,2/40,4/40,6/40,6/40,11/40,16/40,21/40,26/40,31/40,36/40,159,140.0
org.iggymedia.periodtracker,9/221,17/221,26/221,35/221,38/221,47/221,59/221,66/221,76/221,85/221,458,411.0
com.google.android.wearable.app,13/107,27/107,39/107,53/107,68/107,80/107,81/107,83/107,84/107,85/107,613,564.0
au.com.auspost.android,1/41,3/41,3/41,3/41,3/41,3/41,3/41,3/41,3/41,3/41,28,26.0
com.calm.android,2/29,4/29,6/29,8/29,10/29,12/29,12/29,14/29,14/29,14/29,96,88.0
com.outdooractive.Outdooractive,12/45,18/45,18/45,33/45,42/45,47/45,55/45,60/45,70/45,80/45,435,389.0
