app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,4/172,7/172,7/172,7/172,7/172,7/172,7/172,10/172,12/172,69,62.5
com.radioplayer.mobile,1/79,4/79,5/79,7/79,8/79,9/79,10/79,11/79,12/79,14/79,81,73.5
de.komoot.android,27/250,53/250,82/250,113/250,145/250,175/250,205/250,235/250,265/250,296/250,1596,1434.5
com.funnmedia.waterminder,4/22,6/22,8/22,11/22,14/22,16/22,18/22,20/22,22/22,24/22,143,129.0
com.pallo.passiontimerscoped,3/40,6/40,9/40,12/40,15/40,18/40,21/40,24/40,27/40,30/40,165,148.5
org.iggymedia.periodtracker,4/221,8/221,12/221,16/221,20/221,24/221,28/221,32/221,36/221,40/221,220,198.0
com.google.android.wearable.app,5/107,11/107,18/107,23/107,30/107,37/107,40/107,46/107,49/107,56/107,315,284.5
au.com.auspost.android,0/41,1/41,1/41,3/41,3/41,3/41,5/41,7/41,7/41,8/41,38,34.0
com.calm.android,0/29,2/29,4/29,4/29,6/29,8/29,10/29,10/29,10/29,10/29,64,59.0
com.outdooractive.Outdooractive,12/45,36/45,49/45,63/45,76/45,79/45,85/45,92/45,102/45,109/45,703,642.5
