app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0,0.0
com.radioplayer.mobile,3/79,4/79,7/79,8/79,9/79,10/79,11/79,12/79,15/79,16/79,95,85.5
de.komoot.android,29/250,58/250,85/250,112/250,139/250,166/250,195/250,224/250,253/250,282/250,1543,1387.5
com.funnmedia.waterminder,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0,0.0
com.pallo.passiontimerscoped,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0,0.0
org.iggymedia.periodtracker,3/221,6/221,10/221,13/221,16/221,19/221,22/221,27/221,30/221,33/221,179,161.0
com.google.android.wearable.app,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0,0.0
au.com.auspost.android,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0,0.0
com.calm.android,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0,0.0
com.outdooractive.Outdooractive,8/45,14/45,24/45,40/45,40/45,43/45,51/45,62/45,70/45,80/45,432,388.0
