app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,2/172,3/172,4/172,5/172,6/172,7/172,8/172,9/172,10/172,55,49.5
com.radioplayer.mobile,1/79,2/79,5/79,6/79,7/79,8/79,9/79,10/79,13/79,14/79,75,67.5
de.komoot.android,32/250,64/250,96/250,128/250,160/250,192/250,223/250,255/250,287/250,319/250,1756,1580.5
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,110,99.0
com.pallo.passiontimerscoped,3/40,6/40,8/40,11/40,14/40,17/40,17/40,17/40,17/40,17/40,127,117.0
org.iggymedia.periodtracker,0/221,6/221,12/221,18/221,24/221,30/221,36/221,42/221,48/221,54/221,270,243.0
com.google.android.wearable.app,0/107,2/107,3/107,4/107,6/107,7/107,7/107,9/107,9/107,11/107,58,52.5
au.com.auspost.android,1/41,2/41,3/41,4/41,5/41,6/41,7/41,8/41,9/41,10/41,55,49.5
com.calm.android,2/29,2/29,2/29,2/29,2/29,2/29,2/29,2/29,2/29,2/29,20,18.0
com.outdooractive.Outdooractive,8/45,11/45,16/45,20/45,24/45,32/45,36/45,45/45,55/45,64/45,311,275.0
