app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,2/172,2/172,3/172,3/172,3/172,3/172,4/172,5/172,6/172,32,28.5
com.radioplayer.mobile,1/79,1/79,3/79,3/79,5/79,7/79,10/79,11/79,11/79,12/79,64,57.5
de.komoot.android,28/250,54/250,80/250,106/250,132/250,158/250,184/250,210/250,211/250,237/250,1400,1267.5
com.funnmedia.waterminder,1/22,2/22,3/22,4/22,5/22,6/22,7/22,8/22,9/22,10/22,55,49.5
com.pallo.passiontimerscoped,3/40,6/40,9/40,12/40,18/40,26/40,32/40,38/40,44/40,50/40,238,211.5
org.iggymedia.periodtracker,4/221,7/221,13/221,16/221,19/221,22/221,25/221,32/221,37/221,45/221,220,195.5
com.google.android.wearable.app,4/107,7/107,11/107,15/107,20/107,25/107,30/107,35/107,41/107,46/107,234,209.0
au.com.auspost.android,1/41,1/41,1/41,1/41,1/41,2/41,4/41,5/41,5/41,5/41,26,23.0
com.calm.android,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0,0.0
com.outdooractive.Outdooractive,8/45,14/45,24/45,40/45,40/45,43/45,51/45,62/45,70/45,80/45,432,388.0
