app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,3/172,5/172,6/172,8/172,9/172,11/172,13/172,15/172,18/172,89,79.5
com.radioplayer.mobile,1/79,3/79,6/79,8/79,9/79,10/79,12/79,13/79,14/79,16/79,92,83.5
de.komoot.android,29/250,58/250,85/250,112/250,139/250,166/250,195/250,224/250,253/250,282/250,1543,1387.5
com.funnmedia.waterminder,2/22,4/22,6/22,9/22,12/22,14/22,17/22,19/22,21/22,23/22,127,114.5
com.pallo.passiontimerscoped,3/40,6/40,9/40,12/40,15/40,18/40,21/40,24/40,27/40,30/40,165,148.5
org.iggymedia.periodtracker,3/221,6/221,9/221,15/221,18/221,22/221,27/221,30/221,35/221,39/221,204,183.0
com.google.android.wearable.app,5/107,9/107,9/107,11/107,15/107,19/107,19/107,23/107,24/107,25/107,159,144.0
au.com.auspost.android,0/41,0/41,1/41,1/41,2/41,2/41,2/41,2/41,2/41,2/41,14,13.0
com.calm.android,0/29,0/29,0/29,0/29,0/29,2/29,2/29,2/29,2/29,5/29,13,10.5
com.outdooractive.Outdooractive,6/45,15/45,19/45,28/45,32/45,32/45,37/45,41/45,44/45,53/45,307,277.5
