app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,4/172,7/172,10/172,12/172,14/172,17/172,20/172,23/172,25/172,25/172,157,142.5
com.radioplayer.mobile,1/79,2/79,3/79,6/79,9/79,10/79,11/79,12/79,14/79,15/79,83,75.0
de.komoot.android,32/250,64/250,64/250,94/250,126/250,156/250,188/250,218/250,248/250,280/250,1470,1314.0
com.funnmedia.waterminder,2/22,5/22,7/22,9/22,12/22,14/22,16/22,18/22,20/22,22/22,125,113.0
com.pallo.passiontimerscoped,2/40,4/40,6/40,8/40,10/40,12/40,14/40,16/40,18/40,20/40,110,99.0
org.iggymedia.periodtracker,7/221,12/221,18/221,22/221,26/221,32/221,38/221,46/221,50/221,62/221,313,278.5
com.google.android.wearable.app,6/107,11/107,15/107,21/107,25/107,30/107,33/107,40/107,42/107,44/107,267,242.0
au.com.auspost.android,1/41,2/41,3/41,4/41,5/41,6/41,7/41,8/41,9/41,10/41,55,49.5
com.calm.android,0/29,2/29,2/29,2/29,4/29,6/29,6/29,8/29,10/29,12/29,52,46.0
com.outdooractive.Outdooractive,3/45,10/45,15/45,27/45,35/45,45/45,58/45,65/45,73/45,83/45,414,371.0
