app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,6,7,7,7,7,7,7,7,7,63,59.0
com.radioplayer.mobile,13,21,29,35,37,43,50,56,67,75,426,382.0
de.komoot.android,56,86,142,199,229,370,452,534,561,616,3245,2909.0
com.funnmedia.waterminder,2,4,6,10,14,16,18,21,23,26,140,126.0
com.pallo.passiontimerscoped,91,178,270,365,460,551,642,739,827,921,5044,4538.0
org.iggymedia.periodtracker,4,18,21,41,44,54,63,83,111,116,555,495.0
com.google.android.wearable.app,36,60,63,74,111,113,136,179,219,259,1250,1102.5
au.com.auspost.android,0,1,1,2,3,3,5,5,5,5,30,27.5
com.calm.android,0,0,0,0,0,0,0,2,2,2,6,5.0
com.outdooractive.Outdooractive,42,48,48,50,51,51,51,51,55,59,506,455.5
