app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,3,4,7,8,10,11,12,13,14,83,75.5
com.radioplayer.mobile,1,7,13,16,18,22,27,30,38,45,217,194.0
de.komoot.android,32,63,95,125,183,215,273,304,332,363,1985,1787.5
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,18,20,110,99.0
com.pallo.passiontimerscoped,10,28,42,57,73,90,108,124,141,156,829,746.0
org.iggymedia.periodtracker,17,29,50,68,87,106,123,145,163,184,972,871.5
com.google.android.wearable.app,1,7,9,10,12,13,17,20,24,27,140,126.0
au.com.auspost.android,1,2,3,4,4,5,6,7,8,8,48,43.5
com.calm.android,3,7,14,26,34,43,46,49,56,63,341,308.0
com.outdooractive.Outdooractive,9,12,21,25,44,58,65,81,92,111,518,458.0
