app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,11,14,14,17,17,17,17,24,26,158,144.5
com.radioplayer.mobile,6,15,22,28,36,43,51,56,61,78,396,354.0
de.komoot.android,53,79,160,217,276,332,414,470,526,557,3084,2779.0
com.funnmedia.waterminder,4,6,8,11,14,16,18,20,22,24,143,129.0
com.pallo.passiontimerscoped,131,275,411,559,707,840,981,1115,1245,1390,7654,6893.5
org.iggymedia.periodtracker,157,322,483,644,807,974,1126,1282,1448,1596,8839,7962.5
com.google.android.wearable.app,12,51,73,78,95,132,141,153,156,168,1059,969.0
au.com.auspost.android,0,1,1,3,3,3,6,8,8,9,42,37.5
com.calm.android,0,2,4,4,6,8,10,10,10,10,64,59.0
com.outdooractive.Outdooractive,33,81,114,152,185,188,201,216,254,261,1685,1538.0
