app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,3,5,6,7,8,10,11,12,65,58.5
com.radioplayer.mobile,1,7,13,16,18,22,27,30,38,45,217,194.0
de.komoot.android,59,91,123,155,187,219,250,282,344,405,2115,1883.0
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,18,20,110,99.0
com.pallo.passiontimerscoped,5,11,13,17,21,27,27,27,27,27,202,186.0
org.iggymedia.periodtracker,0,7,49,92,144,186,229,280,328,368,1683,1499.0
com.google.android.wearable.app,0,2,3,4,6,7,7,11,11,15,66,58.5
au.com.auspost.android,1,2,3,4,5,6,7,8,9,10,55,49.5
com.calm.android,2,2,2,2,2,2,2,2,2,2,20,18.0
com.outdooractive.Outdooractive,14,17,28,34,40,57,61,73,85,97,506,450.5
