app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0,1,2,3,4,6,7,8,9,10,50,45.0
com.radioplayer.mobile,2,3,11,17,17,23,31,37,41,43,225,202.5
de.komoot.android,53,79,160,217,276,332,414,470,526,557,3084,2779.0
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,19,21,112,100.5
com.pallo.passiontimerscoped,4,6,8,8,93,173,261,355,440,528,1876,1610.0
org.iggymedia.periodtracker,18,41,66,84,100,126,150,164,183,202,1134,1024.0
com.google.android.wearable.app,40,84,114,138,157,171,172,174,176,178,1404,1295.0
au.com.auspost.android,5,12,12,12,12,12,12,12,12,12,113,104.5
com.calm.android,2,6,10,14,20,22,22,24,24,24,168,155.0
com.outdooractive.Outdooractive,28,45,45,70,94,101,119,124,154,164,944,848.0
