app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,4,5,8,8,9,10,11,11,69,63.0
com.radioplayer.mobile,9,25,32,41,55,67,71,80,82,90,552,502.5
de.komoot.android,34,109,143,404,528,608,634,865,945,945,5215,4725.5
com.funnmedia.waterminder,4,6,8,10,12,14,17,19,21,27,138,122.5
com.pallo.passiontimerscoped,99,205,306,398,506,598,692,779,877,963,5423,4892.0
org.iggymedia.periodtracker,54,85,112,162,187,222,256,277,293,385,2033,1813.5
com.google.android.wearable.app,2,5,8,11,13,15,19,23,24,25,145,131.5
au.com.auspost.android,2,6,8,8,8,8,9,9,9,9,76,70.5
com.calm.android,0,2,4,4,6,6,6,6,6,6,46,43.0
com.outdooractive.Outdooractive,1,4,10,11,17,20,27,35,49,52,226,199.5
