app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,2,3,3,4,4,4,4,5,6,7,42,37.5
com.radioplayer.mobile,1,1,3,3,5,8,11,12,12,19,75,65.0
de.komoot.android,186,342,394,446,524,602,732,784,785,811,5606,5107.5
com.funnmedia.waterminder,1,2,5,6,7,8,9,11,12,14,75,67.5
com.pallo.passiontimerscoped,100,185,270,369,460,565,655,683,783,881,4951,4460.5
org.iggymedia.periodtracker,12,42,53,63,74,84,95,128,140,176,867,773.0
com.google.android.wearable.app,4,31,59,75,132,152,200,237,268,302,1460,1307.0
au.com.auspost.android,1,1,1,1,1,2,4,5,5,5,26,23.0
com.calm.android,0,0,0,0,0,0,0,0,0,0,0,0.0
com.outdooractive.Outdooractive,21,33,51,96,96,101,118,172,192,210,1090,974.5
