app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,4,4,5,7,8,9,11,12,13,14,87,78.0
com.radioplayer.mobile,14,18,24,31,41,54,64,70,88,96,500,445.0
de.komoot.android,32,62,91,152,180,209,267,326,354,386,2059,1850.0
com.funnmedia.waterminder,3,6,9,12,15,18,21,27,30,33,174,156.0
com.pallo.passiontimerscoped,13,28,42,59,79,92,104,121,135,151,824,742.0
org.iggymedia.periodtracker,9,19,28,40,52,62,74,90,101,109,584,525.0
com.google.android.wearable.app,5,12,19,26,34,40,43,48,56,60,343,310.5
au.com.auspost.android,6,10,14,20,25,29,34,40,44,48,270,243.0
com.calm.android,2,2,2,2,2,2,2,2,2,2,20,18.0
com.outdooractive.Outdooractive,20,24,30,42,55,83,105,135,186,223,903,781.5
