app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,3,6,8,10,11,12,12,13,78,71.0
com.radioplayer.mobile,10,19,19,23,38,45,84,84,98,99,519,464.5
de.komoot.android,30,76,162,219,249,333,445,505,588,646,3253,2915.0
com.funnmedia.waterminder,2,4,6,8,10,13,15,17,19,21,115,103.5
com.pallo.passiontimerscoped,82,171,255,343,414,501,576,650,727,810,4529,4083.0
org.iggymedia.periodtracker,17,48,68,74,89,106,129,165,197,204,1097,986.5
com.google.android.wearable.app,12,12,15,19,48,59,111,118,124,125,643,574.5
au.com.auspost.android,0,0,0,0,0,0,0,0,0,1,1,0.5
com.calm.android,0,0,0,0,0,0,2,2,2,2,8,7.0
com.outdooractive.Outdooractive,5,8,13,15,20,22,24,26,33,39,205,183.0
