app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,5,8,14,18,24,27,30,36,40,44,246,221.5
com.radioplayer.mobile,6,15,22,28,36,43,51,56,61,78,396,354.0
de.komoot.android,80,136,165,221,362,447,477,533,624,683,3728,3346.5
com.funnmedia.waterminder,5,8,11,14,17,20,21,22,23,24,165,150.5
com.pallo.passiontimerscoped,80,161,238,324,405,501,586,670,753,837,4555,4096.5
org.iggymedia.periodtracker,13,29,36,51,60,71,97,108,128,149,742,661.0
com.google.android.wearable.app,26,41,64,99,117,129,146,164,179,180,1145,1042.0
au.com.auspost.android,1,2,2,2,3,3,3,3,3,3,25,23.0
com.calm.android,5,7,8,13,14,15,17,21,22,25,147,132.0
com.outdooractive.Outdooractive,38,53,89,113,139,149,160,169,180,187,1277,1164.5
