app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,3,4,5,7,8,10,11,12,63,56.5
com.radioplayer.mobile,5,8,8,13,19,23,30,33,37,37,213,192.0
de.komoot.android,55,84,140,172,204,236,266,297,354,386,2194,1973.5
com.funnmedia.waterminder,2,4,6,10,12,14,16,18,20,22,124,112.0
com.pallo.passiontimerscoped,15,25,43,64,77,95,110,124,136,147,836,755.0
org.iggymedia.periodtracker,18,28,38,48,69,84,101,109,129,139,763,684.5
com.google.android.wearable.app,1,8,11,14,17,20,23,26,29,32,181,164.5
au.com.auspost.android,3,6,9,15,18,21,24,27,28,29,180,164.0
com.calm.android,0,2,2,4,4,4,6,6,6,10,44,39.0
com.outdooractive.Outdooractive,21,48,69,89,111,118,136,163,167,192,1114,1007.5
