app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0,1,1,1,1,2,2,2,3,3,16,14.5
com.radioplayer.mobile,15,31,33,50,67,71,75,77,93,109,621,559.0
de.komoot.android,26,130,208,261,287,391,417,469,600,652,3441,3102.0
com.funnmedia.waterminder,4,9,11,13,15,19,24,24,28,31,178,160.5
com.pallo.passiontimerscoped,86,170,175,182,200,278,366,460,561,643,3121,2756.5
org.iggymedia.periodtracker,12,90,140,156,242,268,275,284,340,357,2164,1979.5
com.google.android.wearable.app,7,33,58,84,111,140,173,210,216,239,1271,1148.0
au.com.auspost.android,5,10,16,21,25,38,41,50,50,50,306,278.5
com.calm.android,0,0,0,2,2,2,2,2,9,13,32,25.5
com.outdooractive.Outdooractive,32,38,50,73,83,90,113,123,135,156,893,799.0
