app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,3,4,5,7,8,10,11,12,63,56.5
com.radioplayer.mobile,4,11,15,15,15,15,21,27,27,35,185,165.5
de.komoot.android,55,84,140,172,204,236,266,297,354,386,2194,1973.5
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,18,20,110,99.0
com.pallo.passiontimerscoped,4,7,11,14,28,40,51,64,87,100,406,354.0
org.iggymedia.periodtracker,18,29,43,53,72,87,114,133,148,164,861,770.0
com.google.android.wearable.app,12,33,44,54,65,73,73,73,73,73,573,530.5
au.com.auspost.android,1,2,2,3,4,4,5,6,6,7,40,36.0
com.calm.android,0,0,0,0,0,0,1,1,1,2,5,4.0
com.outdooractive.Outdooractive,20,24,30,42,55,83,105,135,186,223,903,781.5
