app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,6,13,18,22,24,28,31,34,38,38,252,230.0
com.radioplayer.mobile,3,7,9,13,18,21,24,27,33,37,192,172.0
de.komoot.android,117,219,219,287,348,408,547,640,744,857,4386,3899.0
com.funnmedia.waterminder,2,5,7,11,14,16,18,20,22,24,139,126.0
com.pallo.passiontimerscoped,2,4,6,8,10,12,14,16,18,20,110,99.0
org.iggymedia.periodtracker,26,47,97,113,125,142,160,187,212,245,1354,1218.5
com.google.android.wearable.app,20,27,44,68,97,114,132,155,161,164,982,890.0
au.com.auspost.android,1,3,5,9,12,14,16,18,22,23,123,111.0
com.calm.android,0,2,2,2,4,8,8,12,14,16,68,60.0
com.outdooractive.Outdooractive,4,14,20,38,46,65,95,103,116,138,639,568.0
