app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,3,4,5,6,8,10,12,13,14,76,68.5
com.radioplayer.mobile,4,10,14,17,23,28,33,34,40,55,258,228.5
de.komoot.android,2,11,20,28,37,47,56,66,76,85,428,384.5
com.funnmedia.waterminder,2,4,8,10,12,14,18,22,24,28,142,127.0
com.pallo.passiontimerscoped,18,23,37,56,67,86,103,116,130,145,781,699.5
org.iggymedia.periodtracker,18,29,43,53,72,87,114,133,148,164,861,770.0
com.google.android.wearable.app,19,52,82,106,137,156,180,185,220,228,1365,1241.5
au.com.auspost.android,1,2,3,4,5,6,7,8,9,10,55,49.5
com.calm.android,0,0,0,0,0,0,0,4,6,6,16,13.0
com.outdooractive.Outdooractive,14,17,28,34,40,57,61,73,85,97,506,450.5
