app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,2,7,10,14,18,51,54,57,60,64,337,304.0
com.radioplayer.mobile,10,11,11,13,19,27,34,42,44,55,266,233.5
de.komoot.android,1,2,56,137,165,193,219,273,302,330,1678,1512.5
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,18,19,109,98.5
com.pallo.passiontimerscoped,17,30,41,52,68,85,104,118,132,144,791,710.5
org.iggymedia.periodtracker,13,32,59,75,91,99,116,133,153,168,939,848.5
com.google.android.wearable.app,10,20,30,40,53,64,74,84,101,112,588,527.0
au.com.auspost.android,1,1,2,3,4,5,6,7,7,7,43,39.0
com.calm.android,0,0,0,0,0,0,1,1,1,2,5,4.0
com.outdooractive.Outdooractive,3,5,15,16,21,25,33,44,55,64,281,247.5
