app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,2,3,4,6,8,9,10,12,13,15,82,73.5
com.radioplayer.mobile,4,11,15,15,15,15,21,27,27,35,185,165.5
de.komoot.android,1,32,61,89,120,151,179,208,237,267,1345,1211.0
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,18,20,110,99.0
com.pallo.passiontimerscoped,23,43,63,86,106,126,149,171,197,216,1180,1060.5
org.iggymedia.periodtracker,10,24,35,45,55,63,71,81,91,103,578,521.5
com.google.android.wearable.app,0,2,3,4,6,7,7,11,11,15,66,58.5
au.com.auspost.android,1,2,2,3,4,4,5,6,6,7,40,36.0
com.calm.android,3,7,14,26,34,43,46,49,56,63,341,308.0
com.outdooractive.Outdooractive,0,2,2,2,2,4,4,4,4,4,28,26.0
