app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,3,7,12,14,18,19,23,25,28,30,179,162.5
com.radioplayer.mobile,0,8,15,19,28,31,31,42,44,49,267,242.5
de.komoot.android,0,0,2,3,5,6,7,11,16,20,70,60.0
com.funnmedia.waterminder,3,5,7,9,11,14,17,19,21,23,129,116.0
com.pallo.passiontimerscoped,0,0,0,0,0,0,0,0,0,0,0,0.0
org.iggymedia.periodtracker,12,42,53,63,74,84,95,128,140,176,867,773.0
com.google.android.wearable.app,4,9,15,19,24,29,34,39,44,49,266,239.5
au.com.auspost.android,0,0,0,0,0,0,0,0,0,0,0,0.0
com.calm.android,6,6,8,10,12,14,14,14,14,14,112,102.0
com.outdooractive.Outdooractive,1,14,27,32,39,80,112,120,131,141,697,626.0
