app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,3,7,12,14,18,19,23,25,28,30,179,162.5
com.radioplayer.mobile,0,8,15,19,28,31,31,42,44,49,267,242.5
de.komoot.android,78,104,182,234,234,260,286,364,390,416,2548,2301.0
com.funnmedia.waterminder,2,4,6,8,10,12,16,21,25,27,131,116.5
com.pallo.passiontimerscoped,93,183,268,364,455,544,554,630,721,811,4623,4171.0
org.iggymedia.periodtracker,7,11,52,62,80,84,98,124,136,147,801,724.0
com.google.android.wearable.app,11,11,11,16,21,66,68,76,77,79,436,391.0
au.com.auspost.android,5,13,18,26,43,46,54,55,65,74,399,359.5
com.calm.android,24,35,43,51,52,53,54,59,60,65,496,451.5
com.outdooractive.Outdooractive,49,102,155,174,218,247,249,253,299,319,2065,1881.0
