app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,7,71,6,81,12,5,13,21,3,29
com.radioplayer.mobile,26,34,33,40,40,32,45,28,1,46
de.komoot.android,74,74,69,69,82,72,70,74,71,72
com.funnmedia.waterminder,64,68,64,68,70,69,66,65,69,70
com.pallo.passiontimerscoped,69,73,71,71,72,73,71,72,73,71
org.iggymedia.periodtracker,65,65,64,67,66,70,66,65,67,86
com.google.android.wearable.app,65,55,35,54,65,60,62,67,67,67
au.com.auspost.android,71,66,68,66,61,66,65,63,68,73
com.calm.android,81,85,88,81,90,86,89,86,83,81
com.outdooractive.Outdooractive,35,26,57,53,40,50,10,41,53,60
