app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,17,11,11,12,26,17,8,32,11,1
com.radioplayer.mobile,6,6,5,5,6,7,6,6,7,6
de.komoot.android,48,98,1,106,96,34,54,53,50,41
com.funnmedia.waterminder,107,83,102,83,46,96,99,102,97,107
com.pallo.passiontimerscoped,135,133,145,138,137,132,139,139,139,154
org.iggymedia.periodtracker,59,41,98,91,50,55,89,31,98,85
com.google.android.wearable.app,17,72,29,26,40,29,63,41,98,66
au.com.auspost.android,65,95,60,35,43,14,100,67,46,63
com.calm.android,17,47,95,29,21,31,13,22,30,46
com.outdooractive.Outdooractive,26,11,80,47,57,23,6,138,34,12
