app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,202,14,210,192,9,248,18,5,12,8
com.radioplayer.mobile,2,20,9,12,29,27,2,26,16,19
de.komoot.android,261,264,232,284,151,312,241,202,89,179
com.funnmedia.waterminder,148,267,254,365,283,193,187,266,257,236
com.pallo.passiontimerscoped,56,217,44,58,214,134,212,160,214,30
org.iggymedia.periodtracker,157,143,150,136,143,144,139,129,128,93
com.google.android.wearable.app,186,118,198,131,123,258,211,272,240,193
au.com.auspost.android,66,67,64,27,176,182,12,1,18,22
com.calm.android,106,42,105,103,96,93,68,92,94,96
com.outdooractive.Outdooractive,30,135,128,119,26,17,28,140,575,125
