app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,69,45,74,26,41,42,7,72,65,47
com.radioplayer.mobile,29,4,1,3,15,33,35,25,2,34
de.komoot.android,79,79,71,71,71,76,71,68,70,72
com.funnmedia.waterminder,67,69,70,69,66,67,71,68,67,69
com.pallo.passiontimerscoped,70,69,68,69,72,72,74,70,71,69
org.iggymedia.periodtracker,68,69,61,66,67,67,67,64,67,66
com.google.android.wearable.app,65,70,64,69,66,69,71,66,70,68
au.com.auspost.android,64,65,65,68,69,68,71,69,65,67
com.calm.android,1001,1001,1001,1001,1001,1001,117,897,1001,1001
com.outdooractive.Outdooractive,62,64,62,61,61,63,58,52,60,61
