app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,186,23,5,211,2,6,2,102,119,11
com.radioplayer.mobile,24,23,22,26,24,40,28,28,28,27
de.komoot.android,257,259,221,184,235,249,224,174,233,169
com.funnmedia.waterminder,117,115,121,87,116,114,82,69,97,100
com.pallo.passiontimerscoped,112,103,113,111,109,111,112,115,109,110
org.iggymedia.periodtracker,99,116,114,102,131,115,123,112,100,124
com.google.android.wearable.app,79,88,86,113,103,86,88,90,92,78
au.com.auspost.android,69,77,79,73,87,117,78,72,72,85
com.calm.android,19,73,46,43,1,143,100,110,113,88
com.outdooractive.Outdooractive,30,135,128,119,26,17,28,140,575,125
