app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,10,162,12,130,76,185,224,14,6,13
com.radioplayer.mobile,21,22,1,26,25,33,21,1,17,147
de.komoot.android,201,101,99,234,238,124,144,185,137,273
com.funnmedia.waterminder,97,103,100,103,98,85,104,112,114,102
com.pallo.passiontimerscoped,106,107,103,105,96,105,97,95,98,103
org.iggymedia.periodtracker,87,88,129,101,101,111,107,106,110,94
com.google.android.wearable.app,79,82,45,46,79,85,87,89,87,93
au.com.auspost.android,69,83,86,70,81,57,56,73,60,82
com.calm.android,159,75,33,29,19,47,85,75,42,22
com.outdooractive.Outdooractive,76,87,95,92,95,89,91,98,93,98
