app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,40,70,47,11,7,75,80,7,9,71
com.radioplayer.mobile,33,35,27,44,44,35,37,42,27,25
de.komoot.android,67,75,66,70,77,75,76,74,75,70
com.funnmedia.waterminder,65,69,66,69,71,69,64,67,65,69
com.pallo.passiontimerscoped,68,73,74,70,72,72,71,71,71,71
org.iggymedia.periodtracker,67,64,69,68,69,68,67,71,67,70
com.google.android.wearable.app,66,50,60,63,60,56,57,64,45,60
au.com.auspost.android,69,65,61,66,69,66,64,71,65,66
com.calm.android,78,9,39,51,39,57,82,84,20,58
com.outdooractive.Outdooractive,56,56,57,58,52,54,58,51,51,55
