app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,5,14,20,18,14,7,6,6,183,169
com.radioplayer.mobile,15,11,20,22,1,37,22,21,21,76
de.komoot.android,206,243,199,226,210,192,120,214,217,198
com.funnmedia.waterminder,105,117,108,120,115,114,111,109,101,107
com.pallo.passiontimerscoped,28,47,33,1,108,102,108,110,105,108
org.iggymedia.periodtracker,106,98,79,39,70,74,104,103,111,103
com.google.android.wearable.app,37,78,46,70,67,45,93,63,40,54
au.com.auspost.android,73,61,1,90,66,75,92,80,68,81
com.calm.android,55,103,85,102,110,47,1,26,25,80
com.outdooractive.Outdooractive,28,41,1,40,25,40,18,42,17,129
