app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,159,89,4,158,141,163,195,188,146,100
com.radioplayer.mobile,18,17,21,22,21,20,20,22,28,26
de.komoot.android,179,201,193,238,148,190,214,237,177,224
com.funnmedia.waterminder,94,110,108,106,104,113,108,101,114,110
com.pallo.passiontimerscoped,104,120,99,107,99,110,105,104,131,108
org.iggymedia.periodtracker,100,88,99,114,93,109,103,81,94,90
com.google.android.wearable.app,73,91,84,77,91,74,73,89,84,89
au.com.auspost.android,74,100,75,77,54,145,68,69,73,61
com.calm.android,35,23,21,38,110,17,49,46,13,39
com.outdooractive.Outdooractive,13,29,15,30,29,19,18,60,40,41
