app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,27,23,22,27,26,26,23,27,22,24
com.radioplayer.mobile,37,26,151,3,27,8,29,43,3,30
de.komoot.android,201,101,99,234,238,124,144,185,137,273
com.funnmedia.waterminder,208,242,198,270,213,247,166,185,247,211
com.pallo.passiontimerscoped,135,133,145,138,137,132,139,139,139,154
org.iggymedia.periodtracker,119,120,119,115,122,137,19,119,203,116
com.google.android.wearable.app,191,101,962,971,985,935,75,348,252,353
au.com.auspost.android,65,95,60,35,43,14,100,67,46,63
com.calm.android,994,996,998,996,974,997,948,913,997,1
com.outdooractive.Outdooractive,11,10,49,27,33,41,42,10,8,11
