app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,13,4,213,8,2,2,7,15,27,8
com.radioplayer.mobile,21,705,26,20,209,19,39,23,88,28
de.komoot.android,121,125,254,304,207,197,122,286,241,268
com.funnmedia.waterminder,128,136,127,120,125,127,156,137,165,139
com.pallo.passiontimerscoped,122,114,146,117,110,118,127,286,116,131
org.iggymedia.periodtracker,157,143,150,136,143,144,139,129,128,93
com.google.android.wearable.app,132,106,103,107,107,103,84,111,108,108
au.com.auspost.android,136,288,119,499,127,127,625,489,576,269
com.calm.android,40,108,50,33,41,52,43,25,66,54
com.outdooractive.Outdooractive,52,141,128,21,157,30,141,31,139,122
