app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,202,14,210,192,9,248,18,5,12,8
com.radioplayer.mobile,2,20,9,12,29,27,2,26,16,19
de.komoot.android,101,296,244,185,227,296,280,69,44,306
com.funnmedia.waterminder,133,139,141,143,132,122,121,115,119,135
com.pallo.passiontimerscoped,120,118,111,138,111,112,12,106,115,114
org.iggymedia.periodtracker,104,43,130,137,142,133,147,159,130,43
com.google.android.wearable.app,49,93,123,115,53,61,68,71,64,29
au.com.auspost.android,114,107,100,93,98,467,140,674,109,100
com.calm.android,97,21,6,22,29,2,50,49,19,43
com.outdooractive.Outdooractive,39,14,15,5,15,80,192,2,56,142
