app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,175,6,23,211,171,3,7,20,28,4
com.radioplayer.mobile,22,30,27,23,22,26,26,24,14,21
de.komoot.android,104,133,111,114,151,265,283,85,233,229
com.funnmedia.waterminder,118,135,132,139,128,130,105,142,144,122
com.pallo.passiontimerscoped,121,125,117,119,126,115,119,116,119,113
org.iggymedia.periodtracker,98,124,121,103,143,130,108,120,132,95
com.google.android.wearable.app,125,104,105,96,100,130,110,83,130,122
au.com.auspost.android,139,81,140,495,510,580,397,104,119,113
com.calm.android,32,44,48,117,42,99,33,35,167,52
com.outdooractive.Outdooractive,3,97,43,2,8,18,58,8,8,4
