app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,10,3,6,1,1,1,1,1,1,1
com.radioplayer.mobile,25,24,25,25,33,32,24,24,29,24
de.komoot.android,229,245,245,266,266,244,221,272,253,276
com.funnmedia.waterminder,109,117,98,112,107,117,87,96,80,108
com.pallo.passiontimerscoped,136,117,146,152,73,152,78,135,6,46
org.iggymedia.periodtracker,104,43,130,137,142,133,147,159,130,43
com.google.android.wearable.app,114,90,6,71,60,100,17,93,88,26
au.com.auspost.android,60,24,61,26,35,15,12,19,20,7
com.calm.android,13,15,10,41,16,13,27,34,13,12
com.outdooractive.Outdooractive,52,141,128,21,157,30,141,31,139,122
