app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,70,2,13,71,71,71,18,71,39,69
com.radioplayer.mobile,47,33,48,2,1,2,37,33,8,37
de.komoot.android,78,74,76,2,74,76,74,81,75,64
com.funnmedia.waterminder,69,73,68,73,72,68,65,76,72,74
com.pallo.passiontimerscoped,73,71,74,75,71,74,74,74,75,70
org.iggymedia.periodtracker,68,65,69,69,69,68,71,24,64,6
com.google.android.wearable.app,67,54,28,68,67,70,37,71,63,69
au.com.auspost.android,73,66,70,73,71,71,68,69,70,75
com.calm.android,78,9,39,51,39,57,82,84,20,58
com.outdooractive.Outdooractive,62,52,63,66,68,52,67,67,68,67
