app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,228,135,25,98,188,157,212,8,21,219
com.radioplayer.mobile,20,22,29,20,57,57,28,28,22,21
de.komoot.android,261,264,232,284,151,312,241,202,89,179
com.funnmedia.waterminder,113,112,81,124,119,109,122,114,119,114
com.pallo.passiontimerscoped,112,113,116,114,113,113,109,112,102,109
org.iggymedia.periodtracker,110,113,100,115,94,112,107,106,46,121
com.google.android.wearable.app,53,67,85,85,93,79,94,83,113,144
au.com.auspost.android,96,72,115,93,76,79,96,79,74,66
com.calm.android,33,150,23,24,22,36,56,62,27,38
com.outdooractive.Outdooractive,27,140,139,25,123,33,54,169,131,159
