app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,156,1,8,28,192,4,4,4,2,167
com.radioplayer.mobile,37,26,151,3,27,8,29,43,3,30
de.komoot.android,106,244,191,233,276,97,206,238,165,160
com.funnmedia.waterminder,118,130,124,127,127,132,124,127,132,116
com.pallo.passiontimerscoped,106,110,114,113,116,113,114,115,119,123
org.iggymedia.periodtracker,111,124,115,120,133,130,118,118,119,124
com.google.android.wearable.app,54,111,114,113,116,41,15,75,8,94
au.com.auspost.android,91,102,86,103,99,90,102,101,95,93
com.calm.android,35,23,21,38,110,17,49,46,13,39
com.outdooractive.Outdooractive,152,171,169,83,117,177,26,160,155,162
