app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,69,52,54,28,26,8,72,26,73,73
com.radioplayer.mobile,33,37,1,28,34,38,28,23,30,21
de.komoot.android,66,70,73,66,67,69,75,65,70,76
com.funnmedia.waterminder,69,67,68,61,72,67,71,69,69,69
com.pallo.passiontimerscoped,73,70,71,76,69,74,71,71,71,69
org.iggymedia.periodtracker,63,67,66,61,62,66,61,68,62,64
com.google.android.wearable.app,66,67,67,66,64,64,66,68,63,65
au.com.auspost.android,67,66,68,67,66,69,68,67,68,69
com.calm.android,69,64,63,64,64,67,63,65,67,105
com.outdooractive.Outdooractive,37,63,37,33,34,66,38,22,56,42
