app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,15,19,17,15,15,21,17,16,18,12
com.radioplayer.mobile,33,35,27,44,44,35,37,42,27,25
de.komoot.android,74,74,69,69,82,72,70,74,71,72
com.funnmedia.waterminder,82,82,82,77,76,79,257,259,74,83
com.pallo.passiontimerscoped,84,82,83,86,84,91,84,86,84,82
org.iggymedia.periodtracker,1,220,209,208,204,207,210,200,200,210
com.google.android.wearable.app,67,54,28,68,67,70,37,71,63,69
au.com.auspost.android,70,77,68,72,73,72,70,69,70,75
com.calm.android,51,51,54,55,75,37,42,28,31,53
com.outdooractive.Outdooractive,60,66,57,61,65,51,71,60,59,61
