app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,171,194,176,189,167,26,13,168,115,177
com.radioplayer.mobile,21,16,17,18,14,18,26,26,21,19
de.komoot.android,101,235,157,199,227,177,210,173,210,197
com.funnmedia.waterminder,107,100,95,116,108,112,97,110,94,79
com.pallo.passiontimerscoped,22,334,30,107,103,99,103,102,110,97
org.iggymedia.periodtracker,94,106,114,114,88,102,87,80,89,109
com.google.android.wearable.app,88,90,94,83,86,70,69,92,76,79
au.com.auspost.android,81,71,77,65,75,81,80,71,91,82
com.calm.android,54,41,62,34,45,60,62,50,46,133
com.outdooractive.Outdooractive,11,10,49,27,33,41,42,10,8,11
