app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,7,13,18,7,8,10,6,8,11,8
com.radioplayer.mobile,18,17,21,22,21,20,20,22,28,26
de.komoot.android,206,243,199,226,210,192,120,214,217,198
com.funnmedia.waterminder,129,144,137,147,130,150,150,146,162,154
com.pallo.passiontimerscoped,205,213,216,218,215,208,209,201,204,214
org.iggymedia.periodtracker,182,196,182,187,184,185,179,177,184,166
com.google.android.wearable.app,69,45,63,142,68,31,84,123,160,89
au.com.auspost.android,81,71,77,65,75,81,80,71,91,82
com.calm.android,61,36,77,40,44,30,80,1,62,49
com.outdooractive.Outdooractive,34,43,79,13,115,174,160,128,70,184
