app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,77,13,7,76,14,6,80,83,9,6
com.radioplayer.mobile,41,46,43,40,29,40,36,55,36,33
de.komoot.android,73,74,73,76,74,78,71,78,70,76
com.funnmedia.waterminder,68,72,66,67,70,70,68,66,74,71
com.pallo.passiontimerscoped,70,66,73,76,72,71,71,77,72,74
org.iggymedia.periodtracker,67,66,72,71,69,68,75,72,69,69
com.google.android.wearable.app,66,71,74,68,72,68,71,71,73,70
au.com.auspost.android,70,77,68,72,73,72,70,69,70,75
com.calm.android,61,70,70,67,78,70,81,84,85,83
com.outdooractive.Outdooractive,60,66,57,61,65,51,71,60,59,61
