app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,11,4,204,16,172,3,195,7,205,230
com.radioplayer.mobile,157,32,45,195,26,28,74,14,29,24
de.komoot.android,228,255,186,122,109,201,188,178,256,223
com.funnmedia.waterminder,128,116,121,114,123,125,126,112,126,114
com.pallo.passiontimerscoped,141,117,127,123,196,116,114,122,122,278
org.iggymedia.periodtracker,119,120,119,115,122,137,19,119,203,116
com.google.android.wearable.app,101,100,109,16,72,71,57,62,69,62
au.com.auspost.android,72,45,101,214,114,112,101,150,96,128
com.calm.android,43,87,90,112,55,122,119,121,126,65
com.outdooractive.Outdooractive,34,43,79,13,115,174,160,128,70,184
