app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,2,6,2,2,13,6,2,4,1,2
com.radioplayer.mobile,31,12,13,25,19,10,10,29,38,20
de.komoot.android,30,23,67,28,42,68,30,83,38,23
com.funnmedia.waterminder,134,100,136,146,100,146,140,126,155,104
com.pallo.passiontimerscoped,56,217,44,58,214,134,212,160,214,30
org.iggymedia.periodtracker,138,87,36,64,159,66,104,109,140,124
com.google.android.wearable.app,51,41,110,65,123,73,29,82,73,24
au.com.auspost.android,58,62,40,161,107,86,53,76,63,55
com.calm.android,14,54,33,12,28,40,51,21,72,15
com.outdooractive.Outdooractive,32,5,56,65,59,114,69,33,23,51
