app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,2,11,125,13,11,4,218,6,202,212
com.radioplayer.mobile,123,20,31,25,21,23,103,23,23,33
de.komoot.android,229,245,245,266,266,244,221,272,253,276
com.funnmedia.waterminder,118,120,126,79,83,116,110,110,102,121
com.pallo.passiontimerscoped,103,113,107,110,113,110,111,110,109,108
org.iggymedia.periodtracker,139,115,108,80,100,127,131,85,60,122
com.google.android.wearable.app,276,91,61,31,106,95,95,78,117,57
au.com.auspost.android,65,76,83,96,72,73,80,75,70,90
com.calm.android,38,50,30,116,31,94,15,26,4,17
com.outdooractive.Outdooractive,56,34,47,26,34,4,140,111,157,35
